symbol,security_id,exchange,segment,instrument
360ONE APR FUT,66693,NSE,D,FUTSTK
360ONE FEB FUT,59188,NSE,D,FUTSTK
360ONE MAR FUT,51722,NSE,D,FUTSTK
ABB APR FUT,66694,NSE,D,FUTSTK
ABB FEB FUT,59189,NSE,D,FUTSTK
ABB MAR FUT,51723,NSE,D,FUTSTK
ABCAPITAL APR FUT,66695,NSE,D,FUTSTK
ABCAPITAL FEB FUT,59190,NSE,D,FUTSTK
ABCAPITAL MAR FUT,51724,NSE,D,FUTSTK
ADANIENSOL APR FUT,66696,NSE,D,FUTSTK
ADANIENSOL FEB FUT,59193,NSE,D,FUTSTK
ADANIENSOL MAR FUT,51725,NSE,D,FUTSTK
ADANIENT APR FUT,66703,NSE,D,FUTSTK
ADANIENT FEB FUT,59194,NSE,D,FUTSTK
ADANIENT MAR FUT,51728,NSE,D,FUTSTK
ADANIGREEN APR FUT,66704,NSE,D,FUTSTK
ADANIGREEN FEB FUT,59201,NSE,D,FUTSTK
ADANIGREEN MAR FUT,51729,NSE,D,FUTSTK
ADANIPORTS APR FUT,66705,NSE,D,FUTSTK
ADANIPORTS FEB FUT,59202,NSE,D,FUTSTK
ADANIPORTS MAR FUT,51734,NSE,D,FUTSTK
ALKEM APR FUT,66706,NSE,D,FUTSTK
ALKEM FEB FUT,59203,NSE,D,FUTSTK
ALKEM MAR FUT,51735,NSE,D,FUTSTK
AMBER APR FUT,66707,NSE,D,FUTSTK
AMBER FEB FUT,59204,NSE,D,FUTSTK
AMBER MAR FUT,51736,NSE,D,FUTSTK
AMBUJACEM APR FUT,66708,NSE,D,FUTSTK
AMBUJACEM FEB FUT,59205,NSE,D,FUTSTK
AMBUJACEM MAR FUT,51737,NSE,D,FUTSTK
ANGELONE APR FUT,66709,NSE,D,FUTSTK
ANGELONE FEB FUT,59206,NSE,D,FUTSTK
ANGELONE MAR FUT,51747,NSE,D,FUTSTK
APLAPOLLO APR FUT,66710,NSE,D,FUTSTK
APLAPOLLO FEB FUT,59207,NSE,D,FUTSTK
APLAPOLLO MAR FUT,51748,NSE,D,FUTSTK
APOLLOHOSP APR FUT,66711,NSE,D,FUTSTK
APOLLOHOSP FEB FUT,59208,NSE,D,FUTSTK
APOLLOHOSP MAR FUT,51756,NSE,D,FUTSTK
ASHOKLEY APR FUT,66712,NSE,D,FUTSTK
ASHOKLEY FEB FUT,59209,NSE,D,FUTSTK
ASHOKLEY MAR FUT,51757,NSE,D,FUTSTK
ASIANPAINT APR FUT,66713,NSE,D,FUTSTK
ASIANPAINT FEB FUT,59210,NSE,D,FUTSTK
ASIANPAINT MAR FUT,51773,NSE,D,FUTSTK
ASTRAL APR FUT,66714,NSE,D,FUTSTK
ASTRAL FEB FUT,59211,NSE,D,FUTSTK
ASTRAL MAR FUT,51774,NSE,D,FUTSTK
AUBANK APR FUT,66715,NSE,D,FUTSTK
AUBANK FEB FUT,59213,NSE,D,FUTSTK
AUBANK MAR FUT,51795,NSE,D,FUTSTK
AUROPHARMA APR FUT,66716,NSE,D,FUTSTK
AUROPHARMA FEB FUT,59214,NSE,D,FUTSTK
AUROPHARMA MAR FUT,51796,NSE,D,FUTSTK
AXISBANK APR FUT,66717,NSE,D,FUTSTK
AXISBANK FEB FUT,59215,NSE,D,FUTSTK
AXISBANK MAR FUT,51813,NSE,D,FUTSTK
BAJAJ-AUTO APR FUT,66718,NSE,D,FUTSTK
BAJAJ-AUTO FEB FUT,59216,NSE,D,FUTSTK
BAJAJ-AUTO MAR FUT,51814,NSE,D,FUTSTK
BAJAJFINSV APR FUT,66719,NSE,D,FUTSTK
BAJAJFINSV FEB FUT,59254,NSE,D,FUTSTK
BAJAJFINSV MAR FUT,51815,NSE,D,FUTSTK
BAJAJHLDNG APR FUT,66720,NSE,D,FUTSTK
BAJAJHLDNG FEB FUT,51817,NSE,D,FUTSTK
BAJAJHLDNG MAR FUT,51818,NSE,D,FUTSTK
BAJFINANCE APR FUT,66721,NSE,D,FUTSTK
BAJFINANCE FEB FUT,59255,NSE,D,FUTSTK
BAJFINANCE MAR FUT,51819,NSE,D,FUTSTK
BANDHANBNK APR FUT,66722,NSE,D,FUTSTK
BANDHANBNK FEB FUT,59256,NSE,D,FUTSTK
BANDHANBNK MAR FUT,51820,NSE,D,FUTSTK
BANKBARODA APR FUT,66723,NSE,D,FUTSTK
BANKBARODA FEB FUT,59257,NSE,D,FUTSTK
BANKBARODA MAR FUT,51821,NSE,D,FUTSTK
BANKINDIA APR FUT,66724,NSE,D,FUTSTK
BANKINDIA FEB FUT,59258,NSE,D,FUTSTK
BANKINDIA MAR FUT,51822,NSE,D,FUTSTK
